unit,guest,date,rating,source,text
onebr,Tamara.,2025-07,5,airbnb,We loved how close the place was to downtown! Nice and clean and very comfortable!
onebr,Katherine.,2025-06,5,airbnb,This is a gem in Leavenworth. Close to town and perfect for us and our infant!
onebr,Jay.,2025-05,5,airbnb,We wish we could have stayed here longer! The apartment was beautiful and easily one of the nicest rentals we have ever stayed at.
onebr,Isaac.,2025-12,5,airbnb,"Great place for the night!Margot7 years on AirbnbRating, 5 stars,  · July 2025A delightful place to stay, very peaceful and comfortable"
onebr,Katie.,2025-06,5,airbnb,Liz was great at communicating and accommodating our needs.
onebr,Natalia.,2025-08,4,airbnb,Great place!
studio,Matt.,2026-03,5,airbnb,"A great little studio for two. Clean, well-equipped, and easy to access. Only a quick drive to downtown, too. The mountain views from the porch are great - perfect for morning coffee. The simple breakfast items were a nice bonus, not many hosts provide that. The space does share a wall with the host's home, but we never heard a sound the entire stay. Would definitely recommend."
studio,Daisy.,2026-02,5,airbnb,"It was a wonderfully peaceful place, truly a home away from home. I had hoped to stay longer, as I thoroughly enjoyed my four days there, but unfortunately, I had to return home. I particularly appreciated the opportunity to walk to the nearby town, indulge in hiking, and admire the starry night sky and the moon, experiences I rarely get to appreciate in the city."
studio,Kimberly.,2026-03,5,airbnb,"Liz’s place was exactly as described and seen in pictures. Bed was so so comfortable, I even asked her where she got the mattress and bedding. I’m an Airbnb host as well, and I give Liz 5 stars! Place had nice,  little details giving it a home away from home feel. Phone charger, white noise speaker, facial masks, kitchen stocked with most things, and a cute little oatmeal breakfast bar. Liz was quick to respond as well. Definitely recommend."
studio,Tess.,2026-02,5,airbnb,This was a great spot! Surroundings were so beautiful and it was so close to lots to do in downtown Leavenworth. Liz was very responsive and such a great host with some great recommendations.
studio,Melissa.,2026-02,5,airbnb,"Cute place to stay in a neighborhood near downtown. It's possible to walk to town in about 20-25 minutes! The view out the room and from the patio is so beautiful. There's a stove, microwave, and refrigerator to make longer stays comfortable."
studio,Katherine.,2026-01,5,airbnb,"We loved staying at Liz’s for the weekend. The view of the mountains is incredible and the place itself was thoughtfully decorated and clean. It was also very close to downtown shops and restaurants, only a few minutes drive."
studio,Tzyin.,2026-01,5,airbnb,"A perfect home away from home! The space was clean, inviting, and the bed was exceptionally comfortable. I felt right at home immediately. I would definitely stay here again!"
studio,Paula.,2026-01,5,airbnb,"A quiet, cozy and clean space to enjoy mountain views and relax. No TV to disctract, just trees and nature. Perfect space for 2 and excusrions into Leavenworth or day hikes. Host was communicative and responsive."
studio,Ashley.,2025-11,5,airbnb,"Beautiful location, minimalist hygge kinda vibe, with many details we really appreciated - dimming lights on all switches, natural bed linens, very comfortable bed, candles, palo santo, sleep sound machine.  We were so stoked to be in such a cozy, clean, well thought out, comfy place with stunning mountain-views, and especially at such a good price point. Def would stay here again."
studio,Gabriel.,2025-10,5,airbnb,"10/10 experience, with an extremely intentional and thoughtful space, felt extremely cozy. Liz was extremely kind and even left my pregnant wife a pregnancy pillow which was so sweet and convenient after a long trip. Balcony views were stunning, and it was just about 4-5 minutes from downtown Leavenworth. Would highly recommend! Thank you so much Liz!"
studio,Linda.,2025-10,5,airbnb,Cute little place to stay in Leavenworth when I attended Oktoberfest! Liz was very friendly and easily reachable when I messaged her. Would definitely stay here again in the future. Bed was comfortable and the place was spacious and very clean. I was very impressed with the 3 in 1 charger for apple iphone/watch/airpod. I didn’t even reach into my duffle to grab my cables.
studio,Alyssa.,2026-01,5,airbnb,"Liz’s place was perfect for our one night weekend stay in Leavenworth! Liz was accommodating, helpful, and friendly during the check-in process. The studio had everything we needed, great views, and was extremely clean. Would highly recommend and stay again if in the area!"
studio,Paula.,2025-12,5,airbnb,"Liz was an outstanding host!! As an Airbnb owner myself, I have high expectations and Liz and her home met all of them. The room was spacious enough for 2, had the amenities we needed and had a beautiful view. I highly recommend booking her place as it was close to downtown and beautiful"
studio,Kimberly.,2025-10,5,airbnb,We had such a lovely stay at Liz’s place. Her home was so comfortable and cozy and not far from town! The views from the balcony were just stunning and lovely to wake up too! She was kind enough to leave us some homemade zucchini bread which was amazing!!! Would definitely stay again!
studio,Will.,2026-02,5,airbnb,"Clean and as described, close to downtown and you can walk if you’d like. Beautiful views off the balcony."
studio,Richard.,2026-02,5,airbnb,Liz‘s place was a great place to stay. It’s safe. The bed is comfortable. Everything is very clean and has beautiful surroundings.
studio,Noelani.,2025-12,5,airbnb,"unfortunately due to extreme weather we couldn't do any of the things we wanted to do in the area, and the power was out. we ended up leaving early but the hosts were very accommodating and understanding of the situation offering us lights when we got there and very kind overall"
studio,Courtney.,2025-08,5,airbnb,"Liz and her space was lovely! We booked more time than we needed to ensure we got a weather window for an Enchantments traverse. The weather turned out to be beautiful the whole time we were there allowing for more exploring. Much to do in Leavenworth, but we appreciated being able to relax in a cozy beautiful place. Watching sunset from the deck with a glass of wine was a favorite nightly activity."
studio,Shiela.,2025-07,5,airbnb,"Thank you Liz  for hosting us! We had an amazing time at your place ! It was a little piece of heaven :) very comfy, very clean , super cute furnitures and comfy bed and linens , everything was earthy and organic , we loved it so much ! The coffee was awesome and all the little snacks especially the sunflower seeds …. The best :) Liz was super responsive and very attentive to our needs . Thanks again ! We will be back hopefully soon !"
studio,Charlene.,2025-07,5,airbnb,"Loved this location- close enough to downtown to easily experience the adorable atmosphere of Leavenworth, but far enough away that we didn’t have to deal with the noise of the crowds. Liz was proactive in communicating with me, kind and the listing was exactly as described. 10/10 host and 10/10 property. I loved her attention to detail in the bedside wireless charger, sound machine and comfortable linens. Thank you, Liz! 💟"
studio,Julie.,2025-07,5,airbnb,"Liz’s place was perfect!! It was so peaceful inside and a beautiful view outside. It’s close to downtown which was really nice when we wanted to go out for dinner or to go shopping. Liz gave some awesome recommendations for us, definitely go down to the river!! No thermostat in the room, as stated, but Liz was quick to reply and change the air when we needed it done. Would definitely stay here again!!"
studio,Ahmad.,2025-07,5,airbnb,"Good stay in Leavenworth. We shared the queen bed with our three-year-old, and it was comfortable. A really clean space with a nice balcony to relax and take in the view. Great to offer some snacks in the kitchen and pretty much all the equipment you would need to cook a small meal. A very short drive from the main/business streets and happenings in town."
studio,Krishna.,2025-06,5,airbnb,"The location was very easy to find, the self check in was quite easy as well, the view from the balcony was amazing, very clean bathroom( always a plus),  all the kitchen utensils were accessible,  it’s a 4 minute drive from the main town, me and my fiancé had a blast. Amazing host overall, will book in the future again.:)Response from LizJune 2025Glad it was a wonderful stay!"
studio,Carlene.,2026-03,5,airbnb,We really enjoyed our stay at Liz's suite. She was very responsive and check in was easy. We would have stayed another night but it was booked!
studio,Bob.,2026-03,4,airbnb,"Very nice unit.  Clean, well laid out, nicely furnished.  Really enjoyed our stay."
studio,Bethia.,2026-02,5,airbnb,The views from the studio are beautiful and it’s a short 20 minute walk into Leavenworth town centre.
studio,Igor.,2026-01,5,airbnb,Great place close to downtown Leavenworth. Clean with a nice view.
studio,Tobias.,2025-12,5,airbnb,"Liz was a great host! Super responsive to all our asks, and great instructions to check in, charge our car, and check out!"
studio,Lori.,2025-12,5,airbnb,"Clean, private, quiet space! We didn’t want to stay in a hotel close to town due to noise and Liz’s place was perfect. Would stay again."
studio,Challen.,2025-12,5,airbnb,The place was very clean and a beautiful view. Worked great for our short visit! The host provided everything needed and was really responsive!
studio,Jennifer.,2025-11,5,airbnb,"Beautiful space, beautiful location, comfortable bed, extremely clean, organic, and natural products & linens. Wish I could stay longer! Thank you, Liz!"
studio,Cherika.,2025-09,5,airbnb,"We absolutely LOVED our stay! Liz was friendly, helpful, and responsive in all our messages! Everything was straightforward and simple to find. The place was immaculately clean, yet didn’t smell or feel like a hotel. There are so many little, thoughtful details throughout (ex: earplugs, makeup removing wipes, basic and easy breakfast items) yet it doesn’t feel cluttered. It’s a beautiful place, with a great view, and even a private porch! I would highly recommend Liz’s place to anyone!"
studio,Emily.,2025-09,5,airbnb,"Beautiful space!  Special touches with pottery, fresh flowers from her garden and even homemade zucchini bread she made for our stay. Kitchen has everything you would need down to the nice little oatmeal fixings.  Thoughtfully put together with a beautiful view! Would absolutely stay here again."
studio,Rani Boran.,2025-09,5,airbnb,"The place is cute and cozy. It was super clean and neatly organized, and you can tell the owner really cares about maintaining it. The location is also great—just 5–10 minutes from tourists area. We really enjoyed our stay. Thank you!"
studio,Peter.,2025-08,5,airbnb,"This is a wonderful place to stay! The bed is large and comfortable, the bathroom is well stocked, and kitchenette has everything needed for a short stay; it even has some pots and pans with a hot plate to cook. Liz is a wonderful host who is a great communicator. Some Airbnb hosts will go with lower end supplies, or finishes in the property but not here! You can tell that she has put great care and thought into the space as everything is immaculate. Definitely a must stay if you are in the area."
studio,Jane.,2025-08,5,airbnb,"Overall  wonderful stay, adorable studio, nice modern aesthetic and decor, balcony view. Thoughtful touches: makeup wipes, snacks, and Liz baked up homemade banana bread. Perfect size for two people. Definitely would stay here again."
studio,Sergiy.,2025-08,5,airbnb,"Had a great stay for a stop over at Leavenworth ! AC helped tremendously during heat wave. Great location not too far from downtown, private enough and great porch view !"
studio,Mollie.,2025-07,5,airbnb,Liz’s place was very clean and charming. It is private and has a nice outdoor patio to sit and drink coffee at in the morning and watch the birds. It is just a short few minute drive from the main tourist part of Leavenworth. We really enjoyed our stay there and would highly recommend to anybody.
studio,Angela.,2025-06,5,airbnb,"Such a cozy and inviting space! The place was clean, spacious, and had a beautiful view. Everything about it made our stay in Leavenworth relaxing and enjoyable. It was very close to downtown. I would definitely stay again!"
studio,Stefanie.,2025-06,5,airbnb,The views 20/10!  Pictures could never capture the beauty of it. This cute little spot was also a nice walk to the town center. Just be ready to go uphill on the way home (: I will definitely be back! Prost!
studio,Gabriela.,2025-06,5,airbnb,"This place is really peaceful and cozy. The bed was fantastic and the host was very kind! I loved the location, and you’re still less than a 10 minute drive to the main downtown area. Great stay!"
studio,Rachel.,2025-05,5,airbnb,"A true gem! Perfect place to stay for us, a couple exploring Leavenworth for the first time. The place was new and tastefully decorated. We appreciated the fresh fruit and oatmeal for breakfast. Beautiful Mountain View from the back porch."
studio,Yoly.,2025-05,5,airbnb,"Awesome stay! We had no trouble accessing the studio, it was very clean and organized. Had everything we needed and the best was the views. It was very nice to be able to enjoy a cup of coffee out in the deck, listening to the birds and enjoying the views. I would definitely come back."
studio,Mariah.,2025-04,5,airbnb,"The pictures simply doesn’t do it justice! Liz’s place was clean and had everything I needed for a relaxing stay! Not to mention it was so beautiful and cozy! The host was very gracious and helpful! Would highly recommend, and would definitely come back!"
studio,Vidit.,2025-12,5,airbnb,Liz was proactive and friendly. The place has beautiful views and is cozy.
studio,Alejandro.,2026-03,5,airbnb,Very nice cozy place to stay at!
studio,Alisa.,2026-01,5,airbnb,Great place! Clean and private with great amenities.
studio,Wendy.,2025-09,4,airbnb,Best view & so peaceful! We loved waking up to the view and that we were just minutes from downtown Leavenworth attractions and the reindeer farm.
